<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BVSP,D,20000321,000000,17528.00,18343.00,17510.00,18343.00,000,0
^BVSP,D,20000322,000000,18346.00,18860.00,18314.00,18314.00,000,0
^BVSP,D,20000323,000000,18314.00,18644.00,18183.00,18331.00,000,0
^BVSP,D,20000324,000000,18332.00,18692.00,18332.00,18675.00,000,0
^BVSP,D,20000327,000000,18675.00,19047.00,18533.00,18951.00,000,0
^BVSP,D,20000328,000000,18952.00,18960.00,18335.00,18338.00,000,0
^BVSP,D,20000329,000000,18339.00,18575.00,17973.00,18053.00,000,0
^BVSP,D,20000330,000000,18053.00,18053.00,17455.00,17647.00,000,0
^BVSP,D,20000331,000000,17660.00,17950.00,17560.00,17820.00,000,0
^BVSP,D,20000403,000000,17826.00,17826.00,17173.00,17245.00,000,0
^BVSP,D,20000404,000000,17253.00,17450.00,16095.00,16758.00,000,0
^BVSP,D,20000405,000000,16762.00,17043.00,16230.00,16714.00,000,0
^BVSP,D,20000406,000000,16719.00,17152.00,16719.00,17146.00,000,0
^BVSP,D,20000407,000000,17150.00,17514.00,17150.00,17514.00,000,0
^BVSP,D,20000410,000000,17519.00,17572.00,16782.00,16783.00,000,0
^BVSP,D,20000411,000000,16787.00,16867.00,16309.00,16539.00,000,0
^BVSP,D,20000412,000000,16542.00,16785.00,16311.00,16323.00,000,0
^BVSP,D,20000413,000000,16325.00,16605.00,15501.00,15501.00,000,0
^BVSP,D,20000414,000000,15501.00,15501.00,14596.00,14794.00,000,0
^BVSP,D,20000417,000000,14761.00,14821.00,14029.00,14816.00,000,0
^BVSP,D,20000418,000000,14817.00,15469.00,14767.00,15408.00,000,0
^BVSP,D,20000419,000000,15438.00,15536.00,14850.00,14926.00,000,0
^BVSP,D,20000420,000000,14938.00,15204.00,14938.00,15203.00,000,0
^BVSP,D,20000424,000000,15204.00,15225.00,14625.00,14794.00,000,0
^BVSP,D,20000425,000000,14798.00,15403.00,14798.00,15401.00,000,0
^BVSP,D,20000426,000000,15401.00,15517.00,15268.00,15446.00,000,0
^BVSP,D,20000427,000000,15446.00,15487.00,14835.00,15440.00,000,0
^BVSP,D,20000428,000000,15450.00,15907.00,15450.00,15538.00,000,0
^BVSP,D,20000502,000000,15596.00,15944.00,15523.00,15524.00,000,0
^BVSP,D,20000503,000000,15525.00,15525.00,14980.00,15109.00,000,0
^BVSP,D,20000504,000000,15111.00,15144.00,14873.00,14970.00,000,0
^BVSP,D,20000505,000000,14967.00,15218.00,14811.00,15218.00,000,0
^BVSP,D,20000508,000000,15220.00,15223.00,14867.00,14891.00,000,0
^BVSP,D,20000509,000000,14897.00,15041.00,14412.00,14582.00,000,0
^BVSP,D,20000510,000000,14570.00,14586.00,14238.00,14434.00,000,0
^BVSP,D,20000511,000000,14447.00,14723.00,14398.00,14499.00,000,0
^BVSP,D,20000512,000000,14496.00,14638.00,14350.00,14459.00,000,0
^BVSP,D,20000515,000000,14469.00,15070.00,14397.00,15056.00,000,0
^BVSP,D,20000516,000000,15074.00,15445.00,15074.00,15360.00,000,0
^BVSP,D,20000517,000000,15361.00,15361.00,14856.00,14871.00,000,0
^BVSP,D,20000518,000000,14876.00,14973.00,14620.00,14627.00,000,0
^BVSP,D,20000519,000000,14594.00,14619.00,13920.00,14327.00,000,0
^BVSP,D,20000522,000000,14330.00,14369.00,13583.00,13891.00,000,0
^BVSP,D,20000523,000000,13891.00,14145.00,13583.00,13587.00,000,0
^BVSP,D,20000524,000000,13592.00,14197.00,13556.00,14166.00,000,0
^BVSP,D,20000525,000000,14187.00,14499.00,14027.00,14186.00,000,0
^BVSP,D,20000526,000000,14204.00,14549.00,14172.00,14542.00,000,0
^BVSP,D,20000529,000000,14541.00,14858.00,14541.00,14773.00,000,0
^BVSP,D,20000530,000000,14815.00,15308.00,14815.00,15249.00,000,0
^BVSP,D,20000531,000000,15251.00,15328.00,14931.00,14957.00,000,0
^BVSP,D,20000601,000000,14967.00,15473.00,14967.00,15450.00,000,0
^BVSP,D,20000602,000000,15518.00,16261.00,15518.00,16222.00,000,0
^BVSP,D,20000605,000000,16222.00,16312.00,15975.00,16023.00,000,0
^BVSP,D,20000606,000000,16018.00,16173.00,15827.00,15947.00,000,0
^BVSP,D,20000607,000000,15955.00,16278.00,15709.00,16272.00,000,0
^BVSP,D,20000608,000000,16286.00,16640.00,16227.00,16399.00,000,0
^BVSP,D,20000609,000000,16421.00,16561.00,16200.00,16342.00,000,0
^BVSP,D,20000612,000000,16351.00,16365.00,16084.00,16097.00,000,0
^BVSP,D,20000613,000000,16100.00,16360.00,16075.00,16354.00,000,0
^BVSP,D,20000614,000000,16365.00,16523.00,16135.00,16366.00,000,0
^BVSP,D,20000615,000000,16369.00,16630.00,16325.00,16561.00,000,0
^BVSP,D,20000616,000000,16567.00,16598.00,16379.00,16425.00,000,0
^BVSP,D,20000619,000000,16423.00,16863.00,16411.00,16850.00,000,0
^BVSP,D,20000620,000000,16854.00,16952.00,16708.00,16844.00,000,0
^BVSP,D,20000621,000000,16854.00,17396.00,16834.00,17254.00,000,0
^BVSP,D,20000623,000000,16977.00,17266.00,16910.00,16977.00,000,0
^BVSP,D,20000626,000000,16977.00,17019.00,16685.00,16745.00,000,0
^BVSP,D,20000627,000000,16743.00,16780.00,16388.00,16512.00,000,0
^BVSP,D,20000628,000000,16532.00,17101.00,16493.00,16842.00,000,0
^BVSP,D,20000629,000000,16830.00,16850.00,16329.00,16407.00,000,0
^BVSP,D,20000630,000000,16404.00,16836.00,16400.00,16728.00,000,0
^BVSP,D,20000703,000000,16747.00,17099.00,16743.00,17089.00,000,0
^BVSP,D,20000704,000000,17106.00,17340.00,17088.00,17279.00,000,0
^BVSP,D,20000705,000000,17285.00,17362.00,17086.00,17135.00,000,0
^BVSP,D,20000706,000000,17148.00,17366.00,17024.00,17348.00,000,0
^BVSP,D,20000707,000000,17352.00,17754.00,17352.00,17599.00,000,0
^BVSP,D,20000710,000000,17620.00,17795.00,17444.00,17472.00,000,0
^BVSP,D,20000711,000000,17473.00,17473.00,16827.00,16881.00,000,0
^BVSP,D,20000712,000000,16893.00,17176.00,16693.00,17053.00,000,0
^BVSP,D,20000713,000000,17057.00,17383.00,16416.00,16444.00,000,0
^BVSP,D,20000714,000000,16439.00,16885.00,16390.00,16881.00,000,0
