"ds","y"
2017-02-07,61
2017-02-08,51
2017-02-09,27
2017-02-10,53
2017-02-11,27
2017-02-12,17
2017-02-13,22
2017-02-14,100
2017-02-15,78
2017-02-16,75
2017-02-17,54
2017-02-18,34
2017-02-19,34
2017-02-20,100
2017-02-21,73
2017-02-22,83
2017-02-23,67
2017-02-24,61
2017-02-25,27
2017-02-26,24
2017-02-27,100
2017-02-28,81
